noop,4,0,320
opt,4,158,320
fifo,4,148,320
lru,4,150,320

noop,5,0,320
opt,5,161,320
fifo,5,153,320
lru,5,155,320

noop,6,0,320
opt,6,166,320
fifo,6,163,320
lru,6,161,320

noop,7,0,320
opt,7,173,320
fifo,7,169,320
lru,7,169,320

noop,8,0,320
opt,8,179,320
fifo,8,172,320
lru,8,179,320

noop,9,0,320
opt,9,187,320
fifo,9,183,320
lru,9,186,320

noop,10,0,320
opt,10,189,320
fifo,10,189,320
lru,10,191,320

noop,11,0,320
opt,11,197,320
fifo,11,190,320
lru,11,195,320

noop,12,0,320
opt,12,207,320
fifo,12,198,320
lru,12,198,320

noop,13,0,320
opt,13,210,320
fifo,13,201,320
lru,13,200,320

noop,14,0,320
opt,14,215,320
fifo,14,207,320
lru,14,208,320

noop,15,0,320
opt,15,217,320
fifo,15,212,320
lru,15,212,320

noop,16,0,320
opt,16,227,320
fifo,16,221,320
lru,16,219,320

noop,17,0,320
opt,17,235,320
fifo,17,227,320
lru,17,226,320

noop,18,0,320
opt,18,240,320
fifo,18,234,320
lru,18,230,320

noop,19,0,320
opt,19,247,320
fifo,19,244,320
lru,19,238,320

noop,20,0,320
opt,20,249,320
fifo,20,244,320
lru,20,246,320

noop,21,0,320
opt,21,257,320
fifo,21,247,320
lru,21,250,320

noop,22,0,320
opt,22,259,320
fifo,22,249,320
lru,22,255,320

noop,23,0,320
opt,23,264,320
fifo,23,255,320
lru,23,256,320

noop,24,0,320
opt,24,267,320
fifo,24,262,320
lru,24,259,320

noop,25,0,320
opt,25,272,320
fifo,25,264,320
lru,25,263,320

noop,26,0,320
opt,26,273,320
fifo,26,275,320
lru,26,267,320

noop,27,0,320
opt,27,278,320
fifo,27,275,320
lru,27,273,320

noop,28,0,320
opt,28,282,320
fifo,28,276,320
lru,28,276,320

noop,29,0,320
opt,29,283,320
fifo,29,281,320
lru,29,279,320

noop,30,0,320
opt,30,284,320
fifo,30,285,320
lru,30,283,320

noop,31,0,320
opt,31,286,320
fifo,31,287,320
lru,31,286,320

noop,32,0,320
opt,32,288,320
fifo,32,288,320
lru,32,288,320

